iter	Passed	Remaining
0	5	1475
1	9	1389
2	16	1527
3	21	1508
4	26	1492
5	33	1530
6	38	1503
7	43	1482
8	49	1499
9	54	1484
10	59	1472
11	66	1485
12	71	1479
13	76	1465
14	82	1474
15	88	1464
16	93	1455
17	99	1460
18	104	1452
19	110	1452
20	115	1440
21	120	1429
22	126	1426
23	132	1423
24	138	1422
25	143	1417
26	149	1411
27	154	1405
28	160	1398
29	166	1399
30	171	1390
31	176	1380
32	182	1374
33	187	1366
34	193	1363
35	200	1372
36	209	1388
37	216	1387
38	221	1381
39	227	1379
40	233	1374
41	239	1371
42	245	1365
43	251	1359
44	257	1353
45	262	1344
46	267	1336
47	272	1330
48	278	1322
49	283	1314
50	288	1308
51	296	1311
52	302	1306
53	307	1298
54	312	1289
55	318	1285
56	323	1276
57	328	1269
58	334	1262
59	340	1260
60	345	1252
61	351	1245
62	356	1238
63	361	1232
64	367	1226
65	372	1219
66	377	1212
67	384	1208
68	389	1201
69	394	1196
70	400	1189
71	405	1182
72	410	1176
73	416	1169
74	421	1162
75	427	1158
76	432	1151
77	437	1144
78	442	1137
79	447	1130
80	452	1124
81	458	1118
82	463	1112
83	468	1105
84	474	1099
85	479	1093
86	484	1086
87	489	1080
88	495	1073
89	501	1069
90	506	1063
91	512	1058
92	518	1053
93	523	1047
94	528	1040
95	534	1035
96	539	1029
97	545	1023
98	551	1018
99	556	1013
100	562	1007
101	567	1000
102	572	994
103	578	990
104	585	986
105	590	980
106	597	976
107	603	972
108	610	968
109	616	963
110	621	957
111	626	951
112	631	945
113	637	939
114	643	933
115	648	927
116	653	921
117	658	915
118	664	909
119	669	903
120	674	897
121	680	892
122	686	887
123	691	881
124	697	876
125	702	869
126	707	863
127	713	858
128	718	852
129	723	846
130	729	840
131	734	834
132	740	829
133	746	824
134	751	818
135	756	812
136	761	806
137	767	801
138	773	795
139	779	790
140	784	784
141	790	779
142	795	773
143	801	767
144	807	762
145	812	756
146	818	751
147	823	745
148	829	739
149	835	735
150	841	730
151	847	724
152	852	719
153	859	714
154	864	708
155	869	702
156	874	696
157	880	690
158	885	685
159	890	679
160	896	673
161	901	667
162	906	661
163	912	656
164	917	650
165	923	645
166	928	639
167	933	633
168	939	628
169	945	622
170	950	617
171	956	611
172	961	605
173	966	599
174	971	594
175	977	588
176	982	582
177	987	577
178	993	571
179	998	565
180	1004	560
181	1010	554
182	1015	549
183	1020	543
184	1026	538
185	1032	532
186	1037	527
187	1042	521
188	1048	515
189	1053	510
190	1058	504
191	1065	499
192	1071	493
193	1076	488
194	1081	482
195	1087	476
196	1092	471
197	1097	465
198	1102	459
199	1108	454
200	1114	449
201	1119	443
202	1124	437
203	1129	431
204	1134	426
205	1140	420
206	1145	414
207	1150	409
208	1156	403
209	1161	398
210	1167	392
211	1175	388
212	1182	383
213	1188	377
214	1194	372
215	1203	367
216	1209	362
217	1215	356
218	1221	351
219	1226	345
220	1231	339
221	1236	334
222	1241	328
223	1247	323
224	1253	317
225	1259	312
226	1265	306
227	1270	300
228	1275	295
229	1281	289
230	1286	283
231	1292	278
232	1297	272
233	1302	267
234	1308	261
235	1314	256
236	1319	250
237	1324	244
238	1329	239
239	1335	233
240	1341	228
241	1346	222
242	1351	216
243	1356	211
244	1362	205
245	1367	200
246	1373	194
247	1379	189
248	1384	183
249	1389	177
250	1394	172
251	1399	166
252	1405	161
253	1410	155
254	1416	149
255	1421	144
256	1426	138
257	1431	133
258	1437	127
259	1442	122
260	1447	116
261	1452	110
262	1459	105
263	1464	99
264	1469	94
265	1475	88
266	1480	83
267	1485	77
268	1490	72
269	1496	66
270	1501	60
271	1507	55
272	1512	49
273	1517	44
274	1523	38
275	1528	33
276	1534	27
277	1540	22
278	1545	16
279	1550	11
280	1555	5
281	1560	0
