Date,tic,Open,High,Low,Close,Volume
2018-01-01,GAZP,130.56,130.93,128.86,130.5,1629536
2018-01-02,GAZP,130.56,130.93,128.86,130.5,1629536
2018-01-03,GAZP,131.03,132.2,130.63,132.2,1053392
2018-01-04,GAZP,132.5,136.2,132.3,135.89,3209651
2018-01-05,GAZP,135.6,137.12,135.08,137.12,1998116
2018-01-08,GAZP,135.6,137.12,135.08,137.12,1998116
2018-01-09,GAZP,138.0,141.35,137.6,140.0,5249343
2018-01-10,GAZP,140.49,143.43,139.58,143.43,5177320
2018-01-11,GAZP,143.21,144.8,142.31,144.58,3858252
2018-01-12,GAZP,144.21,144.54,141.64,143.99,3677624
2018-01-15,GAZP,144.32,145.5,142.6,142.99,3005220
2018-01-16,GAZP,143.17,145.35,141.89,145.29,3699101
2018-01-17,GAZP,144.51,149.2,143.31,148.7,6409318
2018-01-18,GAZP,148.79,150.35,148.13,150.35,5394127
2018-01-19,GAZP,149.82,151.0,148.4,149.13,3901581
2018-01-22,GAZP,149.1,150.3,148.85,150.3,2275105
2018-01-23,GAZP,150.91,151.65,147.71,148.8,3579145
2018-01-24,GAZP,148.59,149.7,146.6,149.7,2484186
2018-01-25,GAZP,150.0,151.39,149.27,149.8,4195860
2018-01-26,GAZP,149.37,149.55,146.01,147.19,3528202
2018-01-29,GAZP,146.67,147.29,144.15,144.75,3607900
2018-01-30,GAZP,143.9,146.43,142.37,143.5,5132570
2018-01-31,GAZP,142.98,144.5,141.8,143.36,4427032
2018-02-01,GAZP,143.4,146.17,143.13,145.39,3751754
2018-02-02,GAZP,145.68,146.78,142.88,144.0,3908820
2018-02-05,GAZP,142.87,145.2,142.3,144.53,3310827
2018-02-06,GAZP,141.51,142.82,140.4,141.59,5207308
2018-02-07,GAZP,142.43,143.39,141.0,141.0,3294817
2018-02-08,GAZP,140.48,140.85,137.14,137.2,4271722
2018-02-09,GAZP,135.99,136.7,132.8,135.56,5342382
2018-02-12,GAZP,136.95,138.1,136.03,137.3,2944190
2018-02-13,GAZP,138.12,140.1,137.45,139.85,3643925
2018-02-14,GAZP,140.01,140.57,137.02,138.89,3412514
2018-02-15,GAZP,139.77,140.99,137.06,137.06,2914161
2018-02-16,GAZP,137.84,139.49,136.77,137.06,2464699
2018-02-19,GAZP,137.36,138.7,137.13,138.31,1446223
2018-02-20,GAZP,138.78,144.29,138.78,141.32,6279112
2018-02-21,GAZP,140.9,144.0,140.53,144.0,2489947
2018-02-22,GAZP,143.49,145.97,142.63,145.97,2989312
2018-02-23,GAZP,143.49,145.97,142.63,145.97,2989312
2018-02-26,GAZP,148.5,149.98,146.42,147.0,3727940
2018-02-27,GAZP,147.2,147.49,144.85,146.5,2477752
2018-02-28,GAZP,145.5,145.75,142.25,143.16,3628426
2018-03-01,GAZP,141.0,142.0,139.39,140.1,4745121
2018-03-02,GAZP,139.65,140.59,137.77,138.57,2683557
2018-03-05,GAZP,138.83,141.83,138.57,141.6,2325499
2018-03-06,GAZP,142.25,143.49,140.47,140.59,2440458
2018-03-07,GAZP,138.43,139.98,137.38,137.52,862252
2018-03-09,GAZP,138.88,139.81,137.79,139.08,628434
2018-03-12,GAZP,140.44,141.96,140.11,141.6,1024387
2018-03-13,GAZP,141.6,142.93,139.95,142.69,1852702
2018-03-14,GAZP,142.62,142.62,138.8,139.73,2806613
2018-03-15,GAZP,139.72,140.06,138.0,139.0,3082156
2018-03-16,GAZP,139.0,141.0,137.11,138.89,3267908
2018-03-19,GAZP,141.45,141.77,139.43,140.67,1388099
2018-03-20,GAZP,140.67,142.7,139.31,140.44,1819234
2018-03-21,GAZP,140.44,144.0,140.44,142.26,3380630
2018-03-22,GAZP,142.26,142.26,139.2,140.46,2458465
2018-03-23,GAZP,140.46,142.49,137.82,140.5,2839310
2018-03-26,GAZP,142.02,142.08,138.27,140.62,914499
2018-03-27,GAZP,140.61,141.7,139.01,140.86,3156842
2018-03-28,GAZP,140.86,141.67,139.13,140.01,2520235
2018-03-29,GAZP,140.01,142.8,140.01,141.83,1991102
2018-03-30,GAZP,141.84,143.31,141.84,142.48,1815303
2018-04-02,GAZP,142.4,143.7,140.32,142.02,931378
2018-04-03,GAZP,142.0,142.0,139.7,140.45,1740637
2018-04-04,GAZP,140.48,141.52,139.02,139.61,2022501
2018-04-05,GAZP,139.64,141.35,139.64,141.09,1754905
2018-04-06,GAZP,141.09,141.97,139.45,141.5,2625537
2018-04-09,GAZP,140.94,141.22,128.19,133.4,6663176
2018-04-10,GAZP,133.46,141.97,133.46,139.15,6444920
2018-04-11,GAZP,139.15,146.29,139.15,143.86,6757642
2018-04-12,GAZP,143.79,146.89,142.13,143.46,4155278
2018-04-13,GAZP,143.46,146.75,142.09,143.21,3457834
2018-04-16,GAZP,141.03,142.83,139.87,140.82,1540848
2018-04-17,GAZP,140.85,143.18,140.66,141.48,2691438
2018-04-18,GAZP,141.4,145.31,141.4,144.97,2946637
2018-04-19,GAZP,144.95,145.75,142.57,144.05,2201307
2018-04-20,GAZP,144.05,145.5,142.9,144.74,2213694
2018-04-23,GAZP,144.3,144.48,142.0,143.13,1846731
2018-04-24,GAZP,143.15,146.52,143.15,145.51,3266514
2018-04-25,GAZP,145.52,145.52,141.41,142.29,2463554
